iter	Passed	Remaining
400	19512	29147
401	19577	29122
402	19642	29098
403	19687	29043
404	19732	28989
405	19779	28938
406	19827	28888
407	19876	28841
408	19926	28793
409	19972	28740
410	20016	28685
411	20062	28633
412	20109	28581
413	20156	28530
414	20205	28482
415	20254	28434
416	20304	28386
417	20350	28335
418	20398	28284
419	20443	28232
420	20490	28180
421	20540	28133
422	20586	28081
423	20634	28031
424	20681	27980
425	20726	27927
426	20773	27876
427	20820	27825
428	20867	27774
429	20914	27723
430	20961	27672
431	21007	27621
432	21055	27572
433	21102	27520
434	21148	27468
435	21200	27424
436	21250	27377
437	21297	27327
438	21345	27278
439	21393	27228
440	21441	27178
441	21489	27128
442	21535	27077
443	21580	27024
444	21627	26974
445	21677	26926
446	21725	26877
447	21772	26826
448	21818	26774
449	21865	26724
450	21912	26673
451	21959	26623
452	22005	26571
453	22052	26521
454	22104	26476
455	22162	26439
456	22244	26430
457	22291	26379
458	22339	26329
459	22384	26277
460	22431	26226
461	22478	26176
462	22524	26124
463	22570	26072
464	22618	26023
465	22667	25975
466	22716	25926
467	22763	25876
468	22809	25825
469	22856	25774
470	22908	25729
471	22955	25679
472	23003	25629
473	23050	25579
474	23095	25526
475	23146	25480
476	23196	25433
477	23244	25384
478	23292	25335
479	23339	25284
480	23386	25234
481	23431	25181
482	23477	25130
483	23523	25079
484	23570	25028
485	23619	24980
486	23668	24932
487	23718	24885
488	23767	24836
489	23816	24788
490	23867	24742
491	23913	24690
492	23959	24640
493	24010	24593
494	24067	24553
495	24127	24516
496	24188	24480
497	24235	24430
498	24290	24388
499	24339	24339
500	24384	24287
501	24435	24240
502	24490	24198
503	24550	24160
504	24599	24112
505	24646	24061
506	24692	24010
507	24763	23983
508	24841	23963
509	24890	23914
510	24939	23865
511	24985	23814
512	25030	23762
513	25078	23712
514	25132	23668
515	25180	23619
516	25231	23572
517	25285	23527
518	25336	23481
519	25383	23430
520	25430	23380
521	25482	23334
522	25537	23291
523	25590	23246
524	25642	23200
525	25694	23154
526	25743	23105
527	25792	23057
528	25843	23009
529	25890	22959
530	25939	22911
531	25987	22861
532	26035	22811
533	26090	22768
534	26137	22717
535	26184	22667
536	26231	22616
537	26278	22566
538	26327	22517
539	26372	22465
540	26419	22415
541	26466	22364
542	26513	22313
543	26561	22264
544	26606	22212
545	26654	22163
546	26700	22111
547	26745	22060
548	26791	22009
549	26838	21958
550	26885	21908
551	26935	21860
552	26990	21816
553	27063	21787
554	27137	21758
555	27192	21714
556	27245	21669
557	27298	21623
558	27352	21578
559	27400	21529
560	27448	21479
561	27496	21429
562	27544	21380
563	27591	21329
564	27637	21278
565	27682	21226
566	27727	21174
567	27772	21122
568	27819	21072
569	27868	21023
570	27921	20977
571	27974	20932
572	28026	20885
573	28078	20839
574	28129	20791
575	28179	20743
576	28251	20711
577	28308	20667
578	28357	20619
579	28405	20569
580	28455	20521
581	28502	20471
582	28549	20420
583	28595	20369
584	28641	20318
585	28686	20266
586	28737	20219
587	28785	20169
588	28832	20119
589	28879	20068
590	28927	20019
591	28978	19971
592	29029	19923
593	29078	19875
594	29126	19825
595	29173	19775
596	29222	19726
597	29270	19676
598	29319	19627
599	29367	19578
600	29413	19527
601	29457	19475
602	29504	19424
603	29550	19373
604	29596	19323
605	29643	19272
606	29689	19222
607	29735	19171
608	29782	19121
609	29827	19069
610	29874	19019
611	29920	18969
612	29966	18918
613	30011	18867
614	30057	18816
615	30106	18767
616	30153	18717
617	30200	18667
618	30245	18616
619	30292	18566
620	30337	18515
621	30384	18465
622	30431	18415
623	30477	18364
624	30524	18314
625	30572	18265
626	30618	18214
627	30665	18164
628	30713	18115
629	30759	18065
630	30807	18015
631	30853	17965
632	30903	17917
633	30950	17867
634	31035	17839
635	31093	17795
636	31141	17745
637	31186	17695
638	31232	17644
639	31279	17594
640	31326	17544
641	31374	17495
642	31422	17446
643	31469	17396
644	31516	17346
645	31566	17298
646	31613	17248
647	31658	17196
648	31703	17146
649	31752	17097
650	31796	17046
651	31848	16998
652	31904	16953
653	31964	16910
654	32022	16866
655	32077	16820
656	32129	16773
657	32182	16726
658	32233	16679
659	32283	16631
660	32339	16585
661	32391	16538
662	32442	16490
663	32492	16441
664	32542	16393
665	32599	16348
666	32654	16302
667	32707	16255
668	32755	16206
669	32802	16156
670	32858	16110
671	32917	16066
672	32974	16021
673	33031	15976
674	33086	15930
675	33132	15880
676	33181	15831
677	33234	15783
678	33288	15737
679	33341	15689
680	33392	15642
681	33444	15594
682	33494	15545
683	33545	15497
684	33597	15450
685	33651	15403
686	33701	15354
687	33752	15306
688	33799	15256
689	33846	15206
690	33892	15155
691	33971	15120
692	34020	15071
693	34069	15021
694	34117	14972
695	34169	14924
696	34221	14876
697	34275	14829
698	34324	14780
699	34371	14730
700	34429	14685
701	34494	14642
702	34548	14595
703	34600	14548
704	34651	14499
705	34698	14449
706	34745	14399
707	34789	14348
708	34836	14298
709	34885	14249
710	34936	14200
711	34996	14155
712	35050	14108
713	35101	14060
714	35151	14011
715	35199	13961
716	35246	13911
717	35295	13862
718	35340	13811
719	35394	13764
720	35447	13716
721	35501	13669
722	35547	13619
723	35591	13568
724	35637	13517
725	35685	13468
726	35731	13417
727	35778	13367
728	35827	13318
729	35874	13268
730	35922	13219
731	35971	13170
732	36022	13121
733	36073	13072
734	36120	13023
735	36168	12973
736	36222	12926
737	36268	12875
738	36316	12826
739	36364	12776
740	36411	12726
741	36461	12677
742	36507	12627
743	36554	12577
744	36601	12527
745	36648	12478
746	36720	12436
747	36804	12399
748	36874	12357
749	36945	12315
750	37006	12269
751	37069	12225
752	37132	12180
753	37187	12132
754	37244	12085
755	37304	12040
756	37364	11994
757	37422	11947
758	37485	11902
759	37545	11856
760	37606	11810
761	37677	11768
762	37736	11721
763	37793	11674
764	37855	11628
765	38020	11614
766	38080	11568
767	38243	11552
768	38305	11506
769	38365	11459
770	38421	11411
771	38530	11379
772	38681	11359
773	38746	11313
774	38807	11266
775	38867	11219
776	38927	11172
777	39070	11148
778	39143	11105
779	39197	11055
780	39353	11035
781	39409	10986
782	39555	10962
783	39631	10918
784	39764	10891
785	39901	10863
786	39970	10818
787	40025	10768
788	40097	10723
789	40162	10676
790	40271	10640
791	40427	10617
792	40599	10597
793	40704	10560
794	40761	10510
795	40842	10467
796	41004	10444
797	41191	10426
798	41268	10381
799	41324	10331
800	41387	10282
801	41500	10245
802	41556	10195
803	41611	10144
804	41675	10095
805	41790	10058
806	41933	10028
807	42054	9993
808	42120	9944
809	42179	9893
810	42328	9864
811	42490	9837
812	42573	9792
813	42656	9747
814	42711	9695
815	42884	9669
816	42933	9616
817	42996	9566
818	43146	9535
819	43201	9483
820	43253	9430
821	43301	9376
822	43373	9328
823	43431	9276
824	43495	9226
825	43648	9194
826	43801	9162
827	43886	9116
828	43940	9063
829	44101	9032
830	44159	8980
831	44251	8935
832	44309	8883
833	44361	8829
834	44415	8776
835	44470	8723
836	44527	8671
837	44621	8626
838	44676	8573
839	44834	8539
840	44887	8486
841	44936	8432
842	45012	8383
843	45081	8332
844	45132	8278
845	45226	8232
846	45276	8178
847	45377	8133
848	45459	8085
849	45572	8042
850	45773	8014
851	45843	7963
852	45980	7923
853	46048	7872
854	46098	7817
855	46160	7765
856	46239	7715
857	46292	7661
858	46457	7625
859	46548	7577
860	46597	7522
861	46648	7468
862	46702	7413
863	46810	7368
864	46877	7316
865	46944	7263
866	47097	7224
867	47151	7170
868	47202	7115
869	47253	7060
870	47303	7005
871	47356	6951
872	47407	6896
873	47457	6841
874	47548	6792
875	47597	6737
876	47716	6692
877	47775	6638
878	47830	6584
879	47887	6530
880	47944	6476
881	47997	6421
882	48145	6379
883	48220	6327
884	48269	6272
885	48318	6216
886	48367	6161
887	48478	6114
888	48530	6059
889	48585	6005
890	48641	5950
891	48689	5895
892	48768	5843
893	48820	5788
894	48922	5739
895	49079	5696
896	49225	5652
897	49295	5599
898	49423	5552
899	49531	5503
900	49693	5460
901	49753	5405
902	49807	5350
903	49947	5304
904	50003	5249
905	50114	5199
906	50229	5150
907	50283	5094
908	50337	5039
909	50388	4983
910	50448	4928
911	50546	4877
912	50626	4824
913	50687	4769
914	50740	4713
915	50796	4658
916	50847	4602
917	50896	4546
918	50952	4490
919	51004	4435
920	51058	4379
921	51110	4323
922	51162	4268
923	51218	4212
924	51276	4157
925	51327	4101
926	51379	4046
927	51429	3990
928	51479	3934
929	51534	3878
930	51587	3823
931	51639	3767
932	51689	3711
933	51739	3656
934	51790	3600
935	51840	3544
936	51895	3489
937	51945	3433
938	52091	3384
939	52161	3329
940	52219	3274
941	52271	3218
942	52324	3162
943	52477	3113
944	52533	3057
945	52686	3007
946	52910	2961
947	53074	2911
948	53152	2856
949	53211	2800
950	53269	2744
951	53352	2690
952	53436	2635
953	53489	2579
954	53546	2523
955	53600	2466
956	53658	2410
957	53754	2356
958	53805	2300
959	53858	2244
960	53908	2187
961	53980	2132
962	54032	2075
963	54079	2019
964	54190	1965
965	54249	1909
966	54298	1853
967	54345	1796
968	54413	1740
969	54481	1684
970	54541	1628
971	54597	1572
972	54747	1519
973	54821	1463
974	54871	1406
975	54919	1350
976	55006	1294
977	55058	1238
978	55192	1183
979	55260	1127
980	55322	1071
981	55419	1015
982	55484	959
983	55619	904
984	55674	847
985	55729	791
986	55779	734
987	55830	678
988	55878	621
989	55969	565
990	56021	508
991	56070	452
992	56124	395
993	56176	339
994	56225	282
995	56278	226
996	56509	170
997	56564	113
998	56617	56
999	56671	0
